"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"1/11/2020","TST* THE TWIGHLIGHT EXIT SEATTLE WA","TST* THE TWIGHLIGHT EXIT SEATTLE WA","5.35","debit","Alcohol & Bars","Discover","",""
"1/08/2020","Big Mario's","BIG MARIOS 2 SEATTLE WA","11.00","debit","Fast Food","Discover","",""
"1/08/2020","South Gate Roller Rink","SQ *SOUTHGATE ROLLER R SEATTLE WA00011529215089826","10.00","debit","Sports","Discover","",""
"1/07/2020","QFC","QFC #5822 BELLEVUE WA","5.82","debit","Groceries","Discover","",""
"1/07/2020","Breadtopia","AMZ*Breadtopia","589.00","debit","Education","CREDIT CARD","",""
"1/05/2020","Dinner","Dinner","25.67","debit","Restaurants","Venmo","",""
"1/05/2020","Town Pump","CC-87 BEND TOWNE PUMP BEND OR","33.46","debit","Gas & Fuel","Discover","",""
"1/05/2020","Seattle Fish Guys LLC","SEATTLE FISH GUYS SEATTLE WA","12.10","debit","Restaurants","Discover","",""
"1/05/2020","SPARROW SCOTT ST BEND OR0002305843012678159870","SQ *SPARROW SCOTT ST BEND OR0002305843012678159870","33.52","debit","Restaurants","Discover","",""
"1/05/2020","Progressive","PROGRESSIVE *INSURANCE 800-776-4737 OH918919949583","500.00","debit","Auto Insurance","Discover","",""
"1/05/2020","LE CHAMOIS","LE CHAMOIS","21.00","debit","Alcohol & Bars","CREDIT CARD","",""
"1/05/2020","Whole Foods","WHOLEFDS TAH#10703","23.71","debit","Groceries","CREDIT CARD","",""
"1/04/2020","Chevron","CHEVRON 0356637 CARSON CITY NV00356637 3767544","33.02","debit","Gas & Fuel","Discover","",""
"1/03/2020","Big Daddys Burgers","BIG DADDYS BURGER S LAKE TAHOE CA00309R","9.62","debit","Fast Food","Discover","",""
"1/03/2020","PICK 6- TAHOE","PICK 6- TAHOE","89.57","debit","Vacation","CREDIT CARD","",""
"1/03/2020","Vanguard","VANGUARD BUY INVESTMENT","500.00","debit","Financial","Interest Checking","",""
"1/03/2020","Vanguard","VANGUARD BUY INVESTMENT","5500.00","debit","Financial","Interest Checking","",""
"1/03/2020","Vanguard","VANGUARD BUY INVESTMENT","3000.00","debit","Financial","Interest Checking","",""
"1/03/2020","FRESH CONSULTING DIRECT DEP~ Future Amount: 394.18 ~ Tran: D","FRESH CONSULTING DIRECT DEP~ Future Amount: 394.18 ~ Tran: D","394.18","credit","Paycheck","Interest Checking","",""
"1/02/2020","Airbnb","Airbnb 350-~20 of groceries","330.00","debit","Hotel","Venmo","",""
"1/02/2020","Zika","Zika","38.00","credit","Income","Venmo","",""
"1/02/2020","Food Straunt Food","Food at straunt and food at grocery","30.00","credit","Income","Venmo","",""
"1/02/2020","Jennifer Wurth Paid","Jennifer Wurth Paid Michelle Kusold","48.00","credit","Income","Venmo","",""
"1/02/2020","Beverages & More","BEVERAGES & MORE #175 SOUTH LAKE TACA","27.35","debit","Alcohol & Bars","Discover","",""
"1/02/2020","Taco Bell","TACO BELL 036120 SOUTH LAKE TACA","6.11","debit","Fast Food","Discover","",""
"1/02/2020","Venmo","VENMO PAYMENT","330.00","debit","Transfer","Interest Checking","",""
"1/01/2020","SNOW.COM/VAIL RESORTS SKI","SNOW.COM/VAIL RESORTS SKI","423.00","debit","Vacation","CREDIT CARD","",""
